generation,source,target,fitness,gain
7,199,216,115.462921,-3.116272
7,192,216,115.462921,-3.116272
7,153,217,109.164772,-10.684151
7,155,217,109.164772,-10.684151
7,190,218,115.090446,-4.619804
7,155,218,115.090446,-4.619804
7,199,219,124.317741,6.530693
7,151,219,124.317741,6.530693
7,171,220,118.016998,-4.305283
7,153,220,118.016998,-4.305283
7,181,221,120.508751,1.661125
7,205,221,120.508751,1.661125
7,155,222,120.345070,-1.232620
7,202,222,120.345070,-1.232620
7,177,223,117.394089,-1.031616
7,153,223,117.394089,-1.031616
7,120,224,122.766312,3.779778
7,194,224,122.766312,3.779778
7,155,225,114.302780,-2.017563
7,204,225,114.302780,-2.017563
7,181,226,120.270287,-0.226753
7,202,226,120.270287,-0.226753
7,183,227,115.686386,-2.791748
7,201,227,115.686386,-2.791748
7,199,228,122.035149,4.294388
7,120,228,122.035149,4.294388
7,177,229,121.193138,3.763084
7,120,229,121.193138,3.763084
7,201,230,114.124977,-2.387871
7,190,230,114.124977,-2.387871
7,187,231,123.098984,4.255402
7,199,231,123.098984,4.255402
7,192,232,118.597771,0.311356
7,195,232,118.597771,0.311356
7,121,233,122.258972,5.099724
7,204,233,122.258972,5.099724
7,190,234,119.397232,1.882393
7,144,234,119.397232,1.882393
7,187,235,123.311180,3.292564
7,208,235,123.311180,3.292564
7,137,236,116.360039,-3.686714
7,181,236,116.360039,-3.686714
7,206,237,116.947693,2.655640
7,204,237,116.947693,2.655640
7,204,238,120.020782,5.105743
7,195,238,120.020782,5.105743
7,120,239,121.628136,4.180153
7,195,239,121.628136,4.180153
7,206,240,120.218155,3.206955
7,195,240,120.218155,3.206955
8,225,241,119.692055,6.442719
8,204,241,119.692055,6.442719
8,217,242,108.828651,-1.851677
8,204,242,108.828651,-1.851677
8,151,243,119.592339,2.888184
8,144,243,119.592339,2.888184
8,120,244,122.720444,7.502602
8,212,244,122.720444,7.502602
8,220,245,120.212776,2.387184
8,195,245,120.212776,2.387184
8,214,246,116.777740,2.774811
8,177,246,116.777740,2.774811
8,227,247,104.596466,-7.829117
8,217,247,104.596466,-7.829117
8,212,248,111.705032,-0.085686
8,214,248,111.705032,-0.085686
8,212,249,113.173920,0.000000
8,212,249,113.173920,0.000000
8,217,250,112.390404,-1.490868
8,232,250,112.390404,-1.490868
8,120,251,117.060707,1.278435
8,225,251,117.060707,1.278435
8,214,252,114.705467,-0.633430
8,226,252,114.705467,-0.633430
8,215,253,112.165771,-3.050125
8,223,253,112.165771,-3.050125
8,229,254,118.314850,-1.290222
8,220,254,118.314850,-1.290222
8,151,255,120.032379,6.772820
8,217,255,120.032379,6.772820
8,215,256,118.375496,3.039543
8,195,256,118.375496,3.039543
8,227,257,119.872093,3.398018
8,120,257,119.872093,3.398018
8,201,258,112.371941,-3.350090
8,223,258,112.371941,-3.350090
8,215,259,115.648163,2.104324
8,201,259,115.648163,2.104324
8,217,260,112.214912,-1.064522
8,223,260,112.214912,-1.064522
8,215,261,121.978157,4.645241
8,239,261,121.978157,4.645241
8,216,262,120.374626,3.965996
8,151,262,120.374626,3.965996
8,220,263,121.662262,3.854584
8,177,263,121.662262,3.854584
8,153,264,112.795311,-1.413597
8,217,264,112.795311,-1.413597
8,120,265,116.137978,2.924706
8,217,265,116.137978,2.924706
8,177,266,116.691048,1.373024
8,215,266,116.691048,1.373024
8,195,267,114.471916,-3.042229
8,223,267,114.471916,-3.042229
8,225,268,123.895813,8.113541
8,120,268,123.895813,8.113541
8,204,269,111.518456,-2.310951
8,216,269,111.518456,-2.310951
8,226,270,113.934624,-5.209023
8,220,270,113.934624,-5.209023
9,217,271,115.722580,4.621338
9,215,271,115.722580,4.621338
9,245,272,118.861443,2.657112
9,204,272,118.861443,2.657112
9,225,273,117.957916,2.315010
9,211,273,117.957916,2.315010
9,151,274,120.726585,5.530556
9,215,274,120.726585,5.530556
9,204,275,111.671280,-0.621872
9,250,275,111.671280,-0.621872
9,252,276,116.619553,3.183929
9,253,276,116.619553,3.183929
9,204,277,114.430801,1.181465
9,225,277,114.430801,1.181465
9,227,278,116.292816,3.245865
9,214,278,116.292816,3.245865
9,225,279,111.919281,-0.435867
9,214,279,111.919281,-0.435867
9,211,280,112.127502,1.337753
9,247,280,112.127502,1.337753
9,153,281,110.570457,-8.992119
9,257,281,110.570457,-8.992119
9,220,282,117.287697,1.760345
9,215,282,117.287697,1.760345
9,253,283,108.809250,-3.126152
9,248,283,108.809250,-3.126152
9,253,284,112.165771,0.000000
9,253,284,112.165771,0.000000
9,250,285,110.878731,-1.835320
9,215,285,110.878731,-1.835320
9,260,286,110.322563,-1.544121
9,269,286,110.322563,-1.544121
9,217,287,110.347328,0.561180
9,214,287,110.347328,0.561180
9,248,288,118.625656,4.281624
9,211,288,118.625656,4.281624
9,212,289,117.163162,4.380997
9,250,289,117.163162,4.380997
9,253,290,110.364235,-1.477882
9,269,290,110.364235,-1.477882
9,120,291,117.261765,0.000000
9,120,291,117.261765,0.000000
9,211,292,111.292015,-4.350891
9,225,292,111.292015,-4.350891
9,269,293,111.872955,0.015778
9,204,293,111.872955,0.015778
9,232,294,111.928505,-5.101845
9,216,294,111.928505,-5.101845
9,269,295,104.813332,-6.149651
9,214,295,104.813332,-6.149651
9,247,296,113.247940,5.097191
9,248,296,113.247940,5.097191
9,265,297,116.137978,0.000000
9,265,297,116.137978,0.000000
9,258,298,114.859276,0.604317
9,265,298,114.859276,0.604317
9,232,299,115.763824,-0.053909
9,215,299,115.763824,-0.053909
9,247,300,104.596466,0.000000
9,247,300,104.596466,0.000000
10,212,301,116.320923,1.664978
10,265,301,116.320923,1.664978
10,279,302,109.271530,0.905228
10,295,302,109.271530,0.905228
10,260,303,111.306602,0.037865
10,286,303,111.306602,0.037865
10,287,304,107.343353,-0.236977
10,295,304,107.343353,-0.236977
10,275,305,105.587189,-5.687820
10,285,305,105.587189,-5.687820
10,287,306,108.429588,-2.680550
10,293,306,108.429588,-2.680550
10,283,307,107.570930,-2.592918
10,269,307,107.570930,-2.592918
10,300,308,108.218941,3.514046
10,295,308,108.218941,3.514046
10,214,309,110.407516,0.000000
10,214,309,110.407516,0.000000
10,214,310,111.091454,0.128471
10,269,310,111.091454,0.128471
10,275,311,111.420601,-0.267555
10,248,311,111.420601,-0.267555
10,287,312,110.347328,0.000000
10,287,312,110.347328,0.000000
10,275,313,108.206406,-0.035904
10,295,313,108.206406,-0.035904
10,260,314,120.682579,8.056267
10,215,314,120.682579,8.056267
10,287,315,107.309242,-0.271088
10,295,315,107.309242,-0.271088
10,216,316,109.417786,-0.611908
10,300,316,109.417786,-0.611908
10,293,317,109.277260,-1.862976
10,214,317,109.277260,-1.862976
10,217,318,115.815102,4.713860
10,215,318,115.815102,4.713860
10,294,319,116.983177,3.137016
10,299,319,116.983177,3.137016
10,284,320,114.622391,3.254272
10,281,320,114.622391,3.254272
10,284,321,113.852585,5.471466
10,247,321,113.852585,5.471466
10,285,322,115.937210,8.199615
10,247,322,115.937210,8.199615
10,247,323,110.053993,2.316399
10,285,323,110.053993,2.316399
10,276,324,110.935638,0.327629
10,300,324,110.935638,0.327629
10,300,325,111.594086,4.092094
10,214,325,111.594086,4.092094
10,299,326,113.467880,-0.521484
10,260,326,113.467880,-0.521484
10,295,327,106.591576,-0.397476
10,217,327,106.591576,-0.397476
10,300,328,116.581444,8.200325
10,284,328,116.581444,8.200325
10,275,329,109.274544,-1.764854
10,214,329,109.274544,-1.764854
10,295,330,107.912788,-0.329521
10,275,330,107.912788,-0.329521
11,269,331,114.828819,4.432320
11,329,331,114.828819,4.432320
11,309,332,105.380272,-2.121719
11,247,332,105.380272,-2.121719
11,293,333,113.510612,5.275902
11,300,333,113.510612,5.275902
11,330,334,109.334801,-0.274895
11,303,334,109.334801,-0.274895
11,313,335,109.665741,1.453064
11,308,335,109.665741,1.453064
11,302,336,113.160789,2.588547
11,293,336,113.160789,2.588547
11,293,337,114.494148,4.601280
11,330,337,114.494148,4.601280
11,330,338,108.429779,-1.179916
11,303,338,108.429779,-1.179916
11,302,339,111.418251,0.846008
11,293,339,111.418251,0.846008
11,329,340,107.278473,-1.315193
11,330,340,107.278473,-1.315193
11,217,341,106.791122,-0.089493
11,247,341,106.791122,-0.089493
11,316,342,101.826881,-6.553688
11,304,342,101.826881,-6.553688
11,302,343,107.743362,0.809364
11,247,343,107.743362,0.809364
11,217,344,112.822426,2.772224
11,324,344,112.822426,2.772224
11,323,345,106.378044,-2.758423
11,308,345,106.378044,-2.758423
11,307,346,107.213036,-1.599426
11,323,346,107.213036,-1.599426
11,307,347,110.135902,1.713165
11,329,347,110.135902,1.713165
11,323,348,108.440651,-0.258018
11,304,348,108.440651,-0.258018
11,327,349,110.881042,2.411591
11,312,349,110.881042,2.411591
11,308,350,108.065445,1.657745
11,300,350,108.065445,1.657745
11,283,351,107.704422,-0.485672
11,307,351,107.704422,-0.485672
11,330,352,111.759689,1.839043
11,294,352,111.759689,1.839043
11,330,353,101.828506,-5.423676
11,327,353,101.828506,-5.423676
11,307,354,105.950096,-2.862366
11,323,354,105.950096,-2.862366
11,308,355,110.392723,1.256256
11,323,355,110.392723,1.256256
11,247,356,107.806107,0.870605
11,329,356,107.806107,0.870605
11,217,357,108.577682,-0.107910
11,313,357,108.577682,-0.107910
11,287,358,106.455399,-2.503731
11,307,358,106.455399,-2.503731
11,311,359,115.595818,5.480888
11,283,359,115.595818,5.480888
11,316,360,113.157539,4.776970
11,304,360,113.157539,4.776970
12,350,361,103.027206,-6.032516
12,323,361,103.027206,-6.032516
12,330,362,104.480743,-3.082169
12,346,362,104.480743,-3.082169
12,330,363,106.396469,-1.663132
12,313,363,106.396469,-1.663132
12,302,364,109.500473,2.566475
12,300,364,109.500473,2.566475
12,269,365,107.374321,-0.683144
12,247,365,107.374321,-0.683144
12,357,366,112.317116,2.854607
12,312,366,112.317116,2.854607
